id,hash_key,schema_version,record_type,source_name,source_url,company,published_date,is_remote,role_family,collected_at
25,50cb598063e8d9f2cfee7a06d4562d3b61d14eea7101a60e6c1ffce5dcb47316,1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/institut-mines-telecom/stagiaire-en-appui-communication-et-pilotage-de-projet-2-mois-palaiseau-234686,Institut Mines Telecom,2026-09-12T04:30:05Z,0,Engineering,2026-09-12T12:00:17.693238+00:00
26,d2e730b2c9ef5352bf054812ac77343d0911af1f26197bb65e610efaeca2a4fe,1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/yepoda/field-sales-training-executive-cdd-sephora-france-paris-408895,Yepoda,2026-09-12T01:40:10Z,0,Engineering,2026-09-12T12:00:17.694182+00:00
27,753b8e73acba041badf5f94497edb144d6ace12a1f6cd452d25e20ed4a144bb1,1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/yepoda/field-sales-training-executive-cdd-sephora-france-paris-317554,Yepoda,2026-09-12T01:40:10Z,0,Engineering,2026-09-12T12:00:17.694240+00:00
28,dc919aa774a72773343a962ab8b65508fe858b0e193001ae4097a79970ebee58,1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/ami-paris/alternance-assistante-administration-des-ventes-adv-h-f-paris-203702,Ami Paris,2026-09-12T01:30:20Z,0,Engineering,2026-09-12T12:00:17.694294+00:00
29,849073125c7a9fdec73e26310d7fd90b97da93965bc9f52cc547aa24a04ef38d,1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/teampicnic/stagiaire-alternante-campagnes-dinfluence-h-f-paris-paris-146509,Teampicnic,2026-09-11T22:55:17Z,0,Engineering,2026-09-12T12:00:17.694343+00:00
30,7c1b8da5850d9b4602b91a7a95554ddea35dcff67650700c671542fd67b4b16d,1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/artefactlinkedin/stagiaire-consultant-sma-h-f-paris-9th-arrondissement-of-paris-75009-paris-187068,Artefactlinkedin,2026-09-11T22:55:13Z,0,Engineering,2026-09-12T12:00:17.694386+00:00
31,7c65a2df0bd45d873453eeb8c0d62a71eddb8c8374a86fe0302f43d0c98baf4c,1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/artefactlinkedin/stage-data-analyst-paris-9th-arrondissement-of-paris-75009-paris-51047,Artefactlinkedin,2026-09-11T22:55:13Z,0,Engineering,2026-09-12T12:00:17.694428+00:00
32,795cd2310b22eb9ee0f01a1cf0ec75d8c5b064b280c213fd794f743ecb575679,1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/artefactlinkedin/senior-software-engineer-9th-arrondissement-of-paris-75009-paris-34859,Artefactlinkedin,2026-09-11T22:55:13Z,0,Engineering,2026-09-12T12:00:17.694469+00:00
33,5009dafb015a958e6c9d7f9b6b550ca2866139f96c31c278187d4ae80e10bed3,1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/artefactlinkedin/senior-data-consultant-h-f-cdi-paris-9th-arrondissement-of-paris-75009-paris-286851,Artefactlinkedin,2026-09-11T22:55:13Z,0,Engineering,2026-09-12T12:00:17.694812+00:00
34,83cf1d1a49bf96e1881ba1c4425dddc5d4474389c1f279af314cedf381510173,1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/artefactlinkedin/senior-data-analyst-9th-arrondissement-of-paris-75009-paris-30123,Artefactlinkedin,2026-09-11T22:55:13Z,0,Engineering,2026-09-12T12:00:17.694874+00:00
